Ticker,Train MAE,Train MSE,Train R2,Test MAE,Test MSE,Test R2
AMC,0.17740186527401905,0.08071736580705724,0.8802438805778819,0.07146583835476786,0.006632814081229322,-363.33965186289964
LIN,0.06066019194644025,0.006562109011298166,0.8872989689181777,0.11443050360271347,0.02097006785061862,-0.45622349315286903
KO,0.008501868510004933,0.00011753068894552575,0.8311783646340694,0.03604389630276946,0.001953675624639683,-1.9982202557700992
JPM,0.03275203763736671,0.0016679692110898854,0.7540346988090321,0.2333584489041018,0.05749756085369432,-7.350281292026759
MSFT,0.12819990164014078,0.024457421366715953,0.5799003892691172,0.1732102492740254,0.03930860369967732,-3.447211765202862
PG,0.029711489041506337,0.0014111470858542859,0.3197400542954556,0.08230720506324095,0.007792573453431915,-5.729247301630816
GOOGL,0.03259552482113618,0.0017777591566464882,0.8155745007016879,0.09542114756150767,0.01312601029690903,-0.8481730079481087
NVDA,0.018790790821926265,0.0006879471956657116,0.9347080942227964,0.16003260695140442,0.03215267106849805,-2.7643546709776308
GME,0.028401344750033433,0.0016402232288556043,0.6870778130059598,0.036850322706646156,0.0028031330110100676,-1.0863532284466335
AMT,0.0716370326833563,0.007943972234259957,0.7175169248108344,0.16962077092642674,0.040083519340498946,-2.6496320918658007
BAC,0.019119985078828765,0.0006651233197596184,-0.01194418374418671,0.04071077668975913,0.0018469364916551205,-12.503623368550127
JNJ,0.02426631353667093,0.0008786026854811132,0.3660997851247574,0.070756354405135,0.006948334294706379,-5.149993134829146
XOM,0.02320995418954368,0.0008376509838931226,0.8262981182784555,0.1729958274130658,0.030995305660228185,-126.78896072741709
GE,0.01675582881758466,0.0004445251855988214,0.942160840282506,0.24997224478039948,0.07165685180494595,-2.7828795679545233
HD,0.08256466371715757,0.009677897795216243,0.6313184009336852,0.22435899856861613,0.06132759181783171,-4.773940675100529
CAT,0.10216301745431888,0.013804094935820922,0.7385007070589757,0.11896877755069184,0.023482554833399158,-1.7972924465856726
PFE,0.00933423267195121,0.00014793879620975854,0.8827901070575483,0.010699742217650821,0.0001612857818109813,-1.6397652271978758
DUK,0.01800736131926548,0.00047509494767015585,0.5860508123150421,0.0520311441797604,0.0049224437395492685,-1.1237270106471913
CVX,0.04242339483422243,0.002636617597467762,0.4272736410341633,0.05771908844308556,0.004309748800022574,-2.4435989157938898
META,0.08159909768052141,0.011385598190121403,0.9430876254233559,0.8726626590812943,0.8067976852985029,-10.69935094142994
TSLA,0.14192898430592302,0.030513406963996587,0.7003918837276784,0.35424577856277156,0.15194395687204526,-4.8578523685456405
VZ,0.009884077257813362,0.00014531459146192914,0.8639377373207338,0.03319271411341409,0.0011748763131203509,-12.92934938303407
T,0.011153285950635725,0.00019980590515421618,-2.1134715307781997,0.03975594561899061,0.002124432676662312,-23.195579440047368
NEE,0.018778783480930483,0.0005442889511198749,0.6857166347613254,0.09243783944149375,0.012389923262412748,-3.429055961229153
NEM,0.020340185980034304,0.0007105411269202878,0.7488771234259977,0.10859118808047517,0.014519627044083234,-8.349963969324781
UNH,0.07917896235604555,0.009531507081778624,0.9151490391809577,0.19479455534569162,0.05185163005914575,0.06396602046535704
WMT,0.01244024838444451,0.00024701784540845156,0.4428260601659584,0.07878604220112673,0.008413226081558542,-3.40954320483006
PLD,0.030659138704219928,0.001609282347369389,0.7883707026522976,0.04855752375063453,0.002952775198353974,-0.07189758868576779
PLTR,0.017618633788377327,0.0004207774121418165,0.7461574942988205,0.06138875658087171,0.004449330236608553,-3.9551228460439836
MCD,0.04545468508110391,0.003460518925582724,0.8319464925330686,0.08731055515169286,0.009970250494020248,-0.32701349672688473
AAPL,0.04037220218437954,0.002591584958448592,0.8234030772634975,0.1274153772132282,0.026051228820559203,-0.7947245603245705
GS,0.10441433114993928,0.016745644878714976,0.34728214402128543,0.46985975941521524,0.24060017426410588,-5.294261457287152
AMZN,0.04431189507320181,0.003151403971760335,0.8729223630532301,0.11551034887178312,0.016264962048099546,-2.8616509445090252
