Ticker,Order,Seasonal Order,Train MAE,Train MSE,Train R2,Test MAE,Test MSE,Test R2
AMC,"(4, 0, 0)","(0, 0, 0, 5)",4.210576880550023,86.85766315288654,-0.007555846178373571,0.8676309418334334,0.8038243490425558,-32.83410378730183
LIN,"(0, 0, 4)","(0, 0, 0, 5)",1.8110038935120731,5.892985719085576,-0.08720402330205723,1.5457313280613136,4.2742920996710545,-0.08273073347698268
KO,"(2, 0, 2)","(0, 0, 1, 5)",0.4339663017264352,0.3230473227246994,-2.8738503082137856,0.6317438981872948,1.3056328123187857,-20.012099984855716
JPM,"(0, 1, 4)","(0, 0, 0, 5)",0.9458968580295687,1.5260460991012152,-0.333115336241556,50.10301075931739,2560.7338274892495,-1241.4469861082466
MSFT,"(3, 0, 2)","(0, 0, 0, 5)",2.0218915759974903,6.737878509499469,-0.021167985753252072,2.089493990691604,7.044899724890547,-0.028753069713254087
PG,"(3, 0, 2)","(0, 0, 0, 5)",0.7227811572742556,0.9095670746326511,-0.3095903751573086,0.7261433444939165,0.8603583073359781,-0.5940839019108854
GOOGL,"(0, 0, 2)","(0, 0, 0, 5)",0.974103053944185,1.6292373386005237,-0.1773250571808569,1.2074962941681195,2.991638422771503,-0.2857703235288871
NVDA,"(0, 0, 3)","(0, 0, 0, 5)",0.5430786154522071,0.570150078977654,-0.6674268624735822,2.22016016870035,7.270558155680622,-0.9205864239778261
GME,"(3, 0, 1)","(0, 0, 0, 5)",0.8014496745476937,1.743134131984038,-0.13656001187564493,1.2084207254511472,3.3917615733187327,-0.36988973443585893
AMT,"(2, 0, 3)","(0, 0, 0, 5)",1.4229102221661054,3.4778379987802426,-0.08172120487281109,1.4270002481665447,3.9707867008849043,-0.861757849177955
BAC,"(1, 0, 2)","(0, 0, 0, 5)",0.4443210907703648,0.33708646361982025,-1.7612040571082637,4.755834146279919,25.17218476173845,-270.3114276037943
JNJ,"(3, 0, 0)","(0, 0, 0, 5)",0.776898136427182,1.039454288908974,-0.3050373922888936,0.713622945842753,0.840118007128874,-0.4454434838560015
XOM,"(3, 0, 0)","(1, 0, 0, 5)",0.8013377325899715,1.0518576872165903,-0.36835911129522203,0.8040699773927334,0.9722364992676246,-0.8347328747227636
GE,"(1, 0, 2)","(0, 0, 1, 5)",0.6243820207243279,0.6225777239408263,-0.7025188441730872,1.0804474506814494,2.633153760265369,-0.09137201388077054
HD,"(2, 0, 2)","(0, 0, 1, 5)",1.776180129135003,5.701012582448888,-0.04259091702195983,1.7679976228805456,4.9508992623064065,-0.016726745428617518
CAT,"(1, 0, 2)","(0, 0, 1, 5)",1.6790280865307552,5.164413982555724,-0.04554819777980845,2.2184869740670425,8.791066529845189,-0.03790725743751877
PFE,"(0, 0, 2)","(1, 0, 0, 5)",0.4475464015011641,0.3509373348909442,-2.010484326457577,0.41457904573271753,0.2030933707596993,-4.88648312961203
DUK,"(3, 0, 2)","(0, 0, 0, 5)",0.5701416746235346,0.5431903421793849,-0.8437259219512299,0.5056656072047009,0.387909212071077,-0.6741340327735328
CVX,"(0, 0, 3)","(0, 0, 0, 5)",1.100806509420036,2.1571616729324123,-0.14010910061126425,0.9283995520625756,1.4462415756353595,-0.6894467968498261
META,"(0, 0, 3)","(1, 0, 0, 5)",2.349540069661705,11.20519560336814,-0.021011521076782724,4.15971931144729,44.74286821906842,-0.003844488246397715
TSLA,"(3, 0, 0)","(1, 0, 0, 5)",3.456650208995832,22.6063527449428,-0.019300322342499676,2.849793134159161,14.510469068061724,-0.1204869238271069
VZ,"(1, 0, 2)","(0, 0, 0, 5)",0.4142547044751342,0.3042094232868516,-3.6583515642660744,0.4003451835196033,0.2230959404797686,-2.642933137561472
T,"(2, 0, 2)","(0, 0, 0, 5)",0.37485986780920516,0.25394156859291367,-16.49735830068829,0.24115156009475833,0.06921712071240702,-4.900170163186353
NEE,"(0, 0, 3)","(0, 0, 1, 5)",0.5956918404455024,0.6204172838094412,-0.7674867336867959,0.5048453245742542,0.45651182788284533,-0.5367004802625963
NEM,"(4, 0, 0)","(0, 0, 0, 5)",0.5345659405705911,0.5227817189351633,-0.9288941792389971,0.7455721390567537,0.7272577585833726,-2.6252199883976437
UNH,"(0, 0, 2)","(0, 0, 0, 5)",2.495915801150007,11.554050623610168,-0.034689518431549216,2.802869132642954,16.00829773651931,0.0003249221064265395
WMT,"(1, 0, 2)","(0, 0, 0, 5)",0.443258165100801,0.33717484299371725,-2.880493505639379,0.3144510269386334,0.18243717653579616,-0.430971260271632
PLD,"(0, 0, 4)","(0, 0, 1, 5)",0.8740670711461015,1.4060543532107428,-0.23106460383970906,0.9970173693015882,1.5034973216035807,-1.0462098820206442
PLTR,"(3, 0, 0)","(0, 0, 0, 5)",0.471550537940799,0.40472258476728673,-1.5471641274714236,0.9014113420794859,1.0102637945660544,-4.351696926119134
MCD,"(3, 0, 0)","(0, 0, 0, 5)",1.0583853944880453,1.9067123279887677,-0.14761733043920722,1.3404940037875088,2.906199171125091,-0.1616820020549723
AAPL,"(2, 0, 2)","(1, 0, 0, 5)",0.9717588522751811,1.7314806754192646,0.11652453031340226,1.4357040747801844,3.81801245185477,-0.8599252817646668
GS,"(1, 0, 2)","(0, 0, 0, 5)",2.0867358411603676,7.870589488999216,-0.05643759374631774,3.985412121458202,23.648440267349503,-0.713195298678879
AMZN,"(3, 0, 2)","(0, 0, 0, 5)",1.295801847780724,3.336826954265918,-0.08656733288859031,1.2678084976823403,3.3479972149170947,-0.022616421035128065
