Ticker,Params,Train MAE,Train MSE,Train R2,Test MAE,Test MSE,Test R2
AMC,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 4, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.040275528362535284,0.00439205792796972,0.993487179062855,0.060824582852101045,0.006940239916232197,-370.4112293183197
LIN,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.9}",0.0076492550496203605,9.826156957401884e-05,0.9983173053642381,0.21633670288084578,0.061906878961721694,-3.214811929323589
KO,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.0004764128197700993,3.751912855439585e-07,0.9994559226384511,0.017051344804625813,0.0007414271462067502,-0.13947775768442527
JPM,"{'subsample': 1.0, 'n_estimators': 500, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.6}",0.0011375776487158433,2.2212300517293117e-06,0.9996745576355114,0.18072459757973033,0.03944171934071379,-4.600575912720825
MSFT,"{'subsample': 1.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.015950360460490604,0.00040040640672655566,0.9931970752421795,0.10623292293202419,0.01855401653067003,-1.116085741053499
PG,"{'subsample': 0.8, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.0005198102138277474,4.4494157694965206e-07,0.9997850191938679,0.052121875484552355,0.003855219972291627,-2.3093462384256607
GOOGL,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.9}",0.004127473683088296,2.7857260348265534e-05,0.9970955601284861,0.10746989979329574,0.017799030641862824,-1.475793422597126
NVDA,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.9}",0.001183780594824104,2.294166764785339e-06,0.9997867860635575,0.12184380326398742,0.021854810714128592,-1.5582688603609647
GME,"{'subsample': 0.9, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.9}",0.002671455784285326,1.2112956768908526e-05,0.9976863164148926,0.009342196709204269,0.00028916773001727043,0.7832261217936004
AMT,"{'subsample': 1.0, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.6}",0.011912677054016498,0.00023867504779414474,0.9915171779240968,0.014782587220199978,0.0003613539621544136,0.9668966583661023
