DATE,FederalFundsRate,PrimeRate,10YrTreasuryRate,CPI,CoreCPI,GDP,IndustrialProduction,UnemploymentRate,NonfarmPayments,AvgHourlyEarnings,CorporateProfitsAfterTax,ConsumerLoans,BankLoansAndLeases,SP500Index,USDIndex
2020-08-20 00:00:00-04:00,,,,,,,,,,,,,,3385.51,116.8243
2020-08-21 00:00:00-04:00,,,,,,,,,,,,,,3397.16,117.0682
2020-08-24 00:00:00-04:00,,,,,,,,,,,,,,3431.28,116.9238
2020-08-25 00:00:00-04:00,,,,,,,,,,,,,,3443.62,116.8324
2020-08-26 00:00:00-04:00,,,,,,,,,,,,752.1708,10541.9031,3478.73,116.6358
2020-08-27 00:00:00-04:00,,,,,,,,,,,,752.1708,10541.9031,3484.55,116.6614
2020-08-28 00:00:00-04:00,,,,,,,,,,,,752.1708,10541.9031,3508.01,115.9506
2020-08-31 00:00:00-04:00,,,,,,,,,,,,752.1708,10541.9031,3500.31,115.7717
2020-09-01 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,752.1708,10541.9031,3526.65,115.5814
2020-09-02 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,751.0129,10525.2366,3580.84,116.0423
2020-09-03 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,751.0129,10525.2366,3455.06,116.0799
2020-09-04 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,751.0129,10525.2366,3426.96,116.0457
2020-09-07 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,751.0129,10525.2366,3426.96,116.0457
2020-09-08 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,751.0129,10525.2366,3331.84,116.4725
2020-09-09 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,752.7178,10528.0791,3398.96,116.1396
2020-09-10 00:00:00-04:00,0.09,,0.68,259.997,268.933,,95.8914,7.8,141770.0,29.51,,752.7178,10528.0791,3339.19,115.8906
